cell_type_ontology_term_id,cell_type,count
CL:0000162,parietal cell,1542
CL:0002201,renal beta-intercalated cell,1510
CL:0002275,pancreatic PP cell,1485
CL:0010022,cardiac neuron,1463
CL:0000917,Tc1 cell,1408
CL:4033010,neuroendocrine cell of epithelium of lobar bronchus,1407
CL:0009017,intestinal crypt stem cell of small intestine,1404
CL:0002320,connective tissue cell,1399
CL:0005010,renal intercalated cell,1398
CL:0005019,pancreatic epsilon cell,1394
CL:0000834,neutrophil progenitor cell,1359
CL:0000864,tissue-resident macrophage,1348
CL:4033095,diffuse bipolar 4a cell,1346
CL:0002149,epithelial cell of uterus,1319
CL:0002495,fetal cardiomyocyte,1310
CL:4033085,diffuse bipolar 5 cell,1307
CL:0001029,common dendritic progenitor,1304
CL:0000253,eurydendroid cell,1296
CL:0002243,smooth muscle cell of sphincter of pupil,1286
CL:0002117,IgG-negative class switched memory B cell,1285
CL:0000092,osteoclast,1282
CL:2000030,hypothalamus cell,1282
CL:4047052,BEST4+ colonocyte,1275
CL:0000879,meningeal macrophage,1257
CL:4042021,neuronal-restricted precursor,1244
CL:2000055,liver dendritic cell,1236
CL:4023043,L5/6 near-projecting glutamatergic neuron of the primary motor cortex,1215
CL:1001611,cerebellar neuron,1209
CL:1001131,vasa recta ascending limb cell,1195
CL:0000100,motor neuron,1191
CL:1000428,stem cell of epidermis,1187
CL:0000056,myoblast,1186
CL:4033024,airway submucosal gland duct basal cell,1184
CL:1000143,lung goblet cell,1174
CL:4030018,kidney connecting tubule principal cell,1168
CL:0019003,tracheobronchial goblet cell,1165
CL:0000242,Merkel cell,1159
CL:1001109,kidney loop of Henle cortical thick ascending limb epithelial cell,1156
CL:0002657,glandular cell of esophagus,1135
CL:0000931,activated type II NK T cell,1122
CL:1000298,mesothelial cell of dura mater,1119
CL:4033037,mucus secreting cell of tracheobronchial tree submucosal gland,1115
CL:0001057,"myeloid dendritic cell, human",1105
CL:0009006,enteroendocrine cell of small intestine,1101
CL:0009075,myo-medullary thymic epithelial cell,1100
CL:0002538,intrahepatic cholangiocyte,1086
CL:0000796,"CD8-alpha-beta-positive, alpha-beta intraepithelial T cell",1063
CL:0011024,double negative T regulatory cell,1037
