cell_type_ontology_term_id,cell_type,count
CL:1000320,large intestine goblet cell,1745
CL:0002538,intrahepatic cholangiocyte,1742
CL:4028004,alveolar type 1 fibroblast cell,1738
CL:0000583,alveolar macrophage,1722
CL:0000349,extraembryonic cell,1660
CL:0000503,theca cell,1637
CL:1001107,kidney loop of Henle thin ascending limb epithelial cell,1610
CL:0002224,lens epithelial cell,1605
CL:0002257,epithelial cell of thyroid gland,1578
CL:0000898,naive T cell,1568
CL:1001106,kidney loop of Henle thick ascending limb epithelial cell,1554
CL:0000216,Sertoli cell,1493
CL:0005011,renal alpha-intercalated cell,1488
CL:0002355,primitive red blood cell,1481
CL:0008002,skeletal muscle fiber,1454
CL:0004232,starburst amacrine cell,1426
CL:0000816,immature B cell,1415
CL:0000875,non-classical monocyte,1398
CL:0000083,epithelial cell of pancreas,1323
CL:0000015,male germ cell,1302
CL:0000666,fenestrated endothelial cell,1295
CL:4030007,fallopian tube multiciliated epithelial cell,1272
CL:2000084,conjunctiva goblet cell,1244
CL:1000495,small intestine goblet cell,1233
CL:4023161,unipolar brush cell,1208
CL:1001603,lung macrophage,1166
CL:4033069,cycling T cell,1150
CL:4033053,small bistratified retinal ganglion cell,1133
CL:0000745,retina horizontal cell,1112
CL:0011019,mesothelial cell of epicardium,1102
CL:0000234,phagocyte,1099
CL:0000575,corneal epithelial cell,1078
CL:0002216,intermediate muscle cell,1057
CL:2000064,ovarian surface epithelial cell,1031
CL:0009080,tuft cell of small intestine,970
CL:0002048,late pro-B cell,943
CL:0002376,non-myelinating Schwann cell,928
CL:0000595,enucleate erythrocyte,928
CL:0002329,basal epithelial cell of tracheobronchial tree,925
CL:0000866,thymic macrophage,908
CL:0000021,female germ cell,891
CL:0000844,germinal center B cell,868
CL:0000881,perivascular macrophage,830
CL:0002503,adventitial cell,815
CL:4052024,myotendinous junction nucleus,813
CL:1000615,kidney cortex tubule cell,810
CL:0002626,immature astrocyte,810
CL:0009002,inflammatory cell,771
CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",745
CL:0002565,iris pigment epithelial cell,725
CL:4030033,valve endothelial cell,718
CL:0000731,urothelial cell,715
CL:0000754,type 2 cone bipolar cell (sensu Mus),705
CL:1000493,mesothelial cell of visceral pleura,699
CL:0002394,CD141-positive myeloid dendritic cell,683
CL:0000650,mesangial cell,670
CL:0000151,secretory cell,667
CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",632
CL:4023120,cochlea auditory hair cell,625
CL:0000782,myeloid dendritic cell,618
CL:0000879,meningeal macrophage,583
CL:4028003,alveolar capillary type 2 endothelial cell,559
CL:1000487,smooth muscle cell of prostate,559
CL:4052030,adventitial fibroblast,547
CL:0000652,pinealocyte,540
CL:1001516,intestinal enteroendocrine cell,536
CL:1000454,kidney collecting duct epithelial cell,529
CL:0000078,peridermal cell,499
CL:0000394,plasmatocyte,496
CL:0000771,eosinophil,486
CL:0000756,type 4 cone bipolar cell (sensu Mus),480
CL:1000409,myocyte of sinoatrial node,468
CL:0002544,aortic endothelial cell,467
CL:0000178,Leydig cell,461
CL:0000000,cell,448
CL:0002211,type I muscle cell,443
CL:0009104,B cell zone reticular cell,434
CL:0002260,epithelial cell of parathyroid gland,433
CL:0009006,enteroendocrine cell of small intestine,432
CL:0002204,tuft cell,414
CL:0001066,"erythroid progenitor cell, mammalian",409
CL:0002370,respiratory tract goblet cell,408
CL:0000632,hepatic stellate cell,397
CL:0002461,CD103-positive dendritic cell,388
CL:4028006,alveolar adventitial fibroblast,384
CL:1001045,kidney cortex artery cell,381
CL:1001111,kidney loop of Henle thin descending limb epithelial cell,372
CL:0009110,lymphatic endothelial cell of medulla ceiling,364
CL:0000767,basophil,359
CL:0000135,fibrocyte,359
CL:0000787,memory B cell,345
CL:4052025,neuromuscular junction nucleus,344
CL:0000791,mature alpha-beta T cell,330
CL:0002576,perineurial cell,315
CL:1000147,cardiac valve cell,315
CL:0008046,extrafusal muscle fiber,311
CL:0001000,CD8-alpha-positive CD11b-negative dendritic cell,304
CL:0009005,salivary gland cell,296
CL:0009108,lymphatic endothelial cell of subcapsular sinus floor,283
CL:0002241,pulmonary interstitial fibroblast,272
CL:4023056,vascular leptomeningeal cell (Mmus),268
CL:0002600,smooth muscle cell of trachea,252
CL:0000557,granulocyte monocyte progenitor cell,250
CL:1001099,kidney efferent arteriole endothelial cell,242
CL:0000023,oocyte,237
CL:0001071,group 3 innate lymphoid cell,235
CL:0000743,hypertrophic chondrocyte,222
CL:0002483,hair follicle melanocyte,217
CL:0002591,smooth muscle cell of the pulmonary artery,209
CL:0000175,luteal cell,206
CL:0009107,lymphatic endothelial cell of subcapsular sinus ceiling,194
CL:0000188,cell of skeletal muscle,192
CL:0000983,IgM plasmablast,181
CL:4047054,migratory dendtritic cell,180
